term,definition
Allowed amount,The maximum amount the plan will use to calculate payment for a covered service.
Balance billing,When an out-of-network provider bills you for the difference between their charge and the plan allowed amount.
Coinsurance,The percentage of covered costs you pay after meeting any applicable deductible.
Copay,A fixed amount you pay for a covered service.
Deductible,The amount you pay before the plan begins paying for services that apply to the deductible.
Dependent,A family member covered under the subscriber's health plan.
Explanation of Benefits,A document that explains how a claim was processed and what the member may owe.
Group ID,The identifier for the employer or group plan associated with your coverage.
In network,A provider or facility that contracts with the plan's network.
Open enrollment,A period when eligible members can enroll in or change health plans.
Out-of-pocket maximum,The most you pay for covered in-network services in a plan year.
PCP,Primary care provider. This clinician is often the first point of care and may coordinate referrals.
Prior authorization,Approval required before some services are covered.
Qualifying life event,A life change such as marriage, birth, adoption, or loss of coverage that may allow plan changes outside open enrollment.
